,order,stratification,type,reservoir,do,temp,temp_diff,precip,daylight
421,0,2,0,3,2,3,2,0,0
8,0,1,1,0,0,2,0,0,0
323,2,0,0,2,1,2,0,0,2
367,4,0,0,2,4,0,0,1,2
51,4,1,1,0,4,1,3,3,4
99,1,1,0,1,3,4,4,0,2
466,1,2,0,3,2,2,3,1,4
18,1,1,1,0,4,4,3,2,3
141,2,1,0,1,3,0,0,4,0
254,0,0,0,2,0,2,1,2,3
4,0,1,1,0,4,1,3,3,4
246,0,0,0,2,3,1,0,1,2
290,1,0,0,2,3,1,0,1,3
31,1,1,1,0,4,1,2,2,4
317,2,0,0,2,4,0,0,1,2
279,1,0,0,2,4,3,0,0,2
440,0,2,0,3,1,2,2,3,1
47,4,1,1,0,3,2,2,3,2
303,2,0,0,2,4,0,1,3,4
77,0,1,0,1,2,4,3,3,1
425,0,2,0,3,1,4,4,2,2
516,4,2,0,3,2,4,4,0,1
439,0,2,0,3,1,2,1,0,0
288,1,0,0,2,1,0,2,3,4
429,0,2,0,3,2,2,3,1,4
315,2,0,0,2,4,0,0,1,4
88,0,1,0,1,2,3,2,3,1
525,4,2,0,3,0,3,4,3,1
411,0,2,0,3,0,3,3,4,2
68,5,1,1,0,1,4,2,2,1
346,4,0,0,2,4,0,0,0,1
53,4,1,1,0,3,2,0,0,0
38,2,1,1,0,1,1,1,2,0
280,1,0,0,2,4,0,0,2,4
571,5,2,0,3,1,2,2,3,1
463,1,2,0,3,0,3,3,3,2
213,5,1,0,1,3,3,4,2,3
427,0,2,0,3,3,1,4,1,4
114,1,1,0,1,3,2,4,2,3
392,5,0,0,2,4,1,1,2,4
496,2,2,0,3,2,2,3,0,0
514,4,2,0,3,4,3,4,4,4
302,2,0,0,2,4,0,0,0,0
468,1,2,0,3,3,4,4,0,3
117,1,1,0,1,3,3,4,2,3
517,4,2,0,3,3,2,4,2,4
22,1,1,1,0,4,1,3,4,4
191,4,1,0,1,1,4,4,3,2
408,5,0,0,2,3,1,2,4,4
487,2,2,0,3,1,2,3,3,4
32,1,1,1,0,0,2,1,4,0
181,4,1,0,1,3,2,3,4,0
30,1,1,1,0,0,2,0,0,0
461,1,2,0,3,0,3,4,3,1
319,2,0,0,2,2,3,0,4,2
386,5,0,0,2,4,0,0,0,1
133,1,1,0,1,0,3,4,4,3
224,5,1,0,1,2,3,4,0,3
36,2,1,1,0,4,4,3,2,3
350,4,0,0,2,4,1,1,1,4
407,5,0,0,2,2,0,0,3,4
242,0,0,0,2,4,0,0,2,4
378,4,0,0,2,3,1,2,4,4
10,0,1,1,0,0,2,1,4,0
164,4,1,0,1,1,4,3,2,2
209,5,1,0,1,3,0,1,3,0
538,4,2,0,3,1,4,4,3,1
232,0,0,0,2,4,0,0,0,0
349,4,0,0,2,4,1,0,0,1
174,4,1,0,1,2,4,2,0,1
13,1,1,1,0,0,4,3,1,2
189,4,1,0,1,1,2,2,0,0
292,1,0,0,2,0,1,0,0,2
55,4,1,1,0,3,2,0,2,2
129,1,1,0,1,1,4,4,3,2
185,4,1,0,1,0,2,3,1,3
499,2,2,0,3,0,3,1,0,1
476,1,2,0,3,0,3,1,0,1
136,1,1,0,1,1,2,1,0,0
238,0,0,0,2,4,0,0,0,1
535,4,2,0,3,0,3,4,4,4
98,0,1,0,1,0,3,2,3,1
322,2,0,0,2,3,1,0,1,3
19,1,1,1,0,4,0,2,4,4
286,1,0,0,2,4,0,1,1,0
221,5,1,0,1,1,2,1,2,1
217,5,1,0,1,1,3,3,2,2
145,2,1,0,1,2,4,3,1,1
456,1,2,0,3,3,1,4,1,4
524,4,2,0,3,0,3,4,1,3
562,5,2,0,3,0,2,2,2,1
243,0,0,0,2,3,1,0,4,3
464,1,2,0,3,0,2,2,2,1
65,5,1,1,0,4,0,2,4,4
261,0,0,0,2,3,1,2,4,4
404,5,0,0,2,0,2,1,2,3
271,1,0,0,2,3,4,1,1,4
171,4,1,0,1,2,4,4,1,2
423,0,2,0,3,2,4,4,0,1
398,5,0,0,2,4,0,0,1,4
233,0,0,0,2,4,0,1,3,4
147,2,1,0,1,1,4,4,3,1
318,2,0,0,2,4,0,1,1,0
469,1,2,0,3,2,2,3,0,0
472,1,2,0,3,1,0,3,4,0
264,1,0,0,2,4,2,2,1,4
72,0,1,0,1,1,4,2,4,2
296,1,0,0,2,3,1,2,4,4
454,1,2,0,3,1,4,4,2,2
276,1,0,0,2,4,0,2,2,4
376,4,0,0,2,0,1,1,3,3
45,4,1,1,0,4,0,2,4,4
172,4,1,0,1,2,4,3,0,1
33,2,1,1,0,4,0,2,3,4
567,5,2,0,3,2,2,3,0,0
15,1,1,1,0,2,4,3,1,3
70,5,1,1,0,3,2,0,0,0
273,1,0,0,2,4,0,0,2,4
158,4,1,0,1,2,1,1,2,1
295,1,0,0,2,2,0,0,3,4
359,4,0,0,2,4,1,1,2,4
437,0,2,0,3,0,3,1,0,1
17,1,1,1,0,1,2,2,4,2
551,5,2,0,3,3,2,4,2,4
178,4,1,0,1,2,0,3,1,0
162,4,1,0,1,2,4,3,3,1
113,1,1,0,1,3,0,1,3,0
95,0,1,0,1,1,1,1,2,0
96,0,1,0,1,1,2,1,0,0
330,2,0,0,2,3,0,1,4,0
218,5,1,0,1,2,3,2,3,1
194,4,1,0,1,1,4,4,3,1
455,1,2,0,3,2,0,3,2,0
506,4,2,0,3,0,4,4,0,2
422,0,2,0,3,2,4,4,0,3
223,5,1,0,1,1,2,2,0,0
479,1,2,0,3,1,2,2,3,1
382,5,0,0,2,2,1,0,1,3
544,4,2,0,3,1,3,2,2,1
192,4,1,0,1,1,4,4,0,2
93,0,1,0,1,1,4,4,3,1
108,1,1,0,1,3,3,4,4,3
299,2,0,0,2,3,0,2,1,4
216,5,1,0,1,2,1,2,4,3
370,4,0,0,2,1,0,2,3,4
403,5,0,0,2,1,0,2,3,4
219,5,1,0,1,0,2,3,1,3
260,0,0,0,2,2,0,0,3,4
235,0,0,0,2,2,3,1,0,2
282,1,0,0,2,4,1,0,3,2
505,4,2,0,3,2,2,4,3,4
284,1,0,0,2,4,1,0,3,3
495,2,2,0,3,0,4,4,4,2
132,1,1,0,1,1,4,4,3,1
79,0,1,0,1,2,4,3,1,1
345,4,0,0,2,4,3,1,4,2
484,2,2,0,3,2,2,4,3,4
462,1,2,0,3,2,2,3,1,4
312,2,0,0,2,4,0,0,2,4
573,0,0,2,4,3,1,0,4,4
467,1,2,0,3,0,4,4,4,2
154,3,1,0,1,1,1,1,2,0
328,2,0,0,2,3,1,2,4,4
211,5,1,0,1,1,3,4,2,1
76,0,1,0,1,3,4,4,0,2
138,1,1,0,1,0,3,2,3,1
46,4,1,1,0,3,2,2,4,3
420,0,2,0,3,1,4,3,0,1
433,0,2,0,3,2,2,2,2,0
549,5,2,0,3,2,4,4,0,3
54,4,1,1,0,3,1,0,0,0
115,1,1,0,1,1,3,4,2,1
327,2,0,0,2,2,0,0,3,4
163,4,1,0,1,1,2,3,3,3
196,4,1,0,1,0,3,2,1,1
436,0,2,0,3,1,4,4,3,1
492,2,2,0,3,0,1,2,3,4
248,0,0,0,2,4,0,0,1,4
574,1,0,2,4,0,1,0,1,0
494,2,2,0,3,0,2,3,1,0
2,0,1,1,0,2,3,2,1,3
28,1,1,1,0,3,2,0,2,2
155,3,1,0,1,1,2,1,0,0
187,4,1,0,1,1,2,1,2,1
9,0,1,1,0,4,1,2,2,4
325,2,0,0,2,0,0,1,0,1
406,5,0,0,2,1,2,0,0,2
541,4,2,0,3,3,2,1,2,0
153,3,1,0,1,0,3,2,1,1
452,1,2,0,3,2,4,4,0,1
97,0,1,0,1,1,0,1,4,0
239,0,0,0,2,4,0,0,4,4
102,1,1,0,1,1,4,3,2,2
184,4,1,0,1,2,3,2,3,1
438,0,2,0,3,3,2,1,2,0
57,4,1,1,0,0,2,0,0,0
215,5,1,0,1,3,2,3,4,0
515,4,2,0,3,2,4,4,0,3
451,1,2,0,3,2,4,4,0,3
336,3,0,0,2,2,3,1,0,2
148,3,1,0,1,1,4,2,4,2
165,4,1,0,1,2,4,3,1,1
112,1,1,0,1,2,4,2,0,1
256,0,0,0,2,1,2,0,0,2
529,4,2,0,3,0,2,3,1,0
536,4,2,0,3,1,0,3,4,0
559,5,2,0,3,0,3,4,3,1
486,2,2,0,3,1,4,4,4,1
91,0,1,0,1,1,2,2,0,0
503,4,2,0,3,0,1,2,2,1
493,2,2,0,3,0,3,4,3,1
160,4,1,0,1,3,2,4,2,3
501,3,2,0,3,0,0,1,4,0
179,4,1,0,1,3,3,4,2,3
197,4,1,0,1,1,1,1,2,0
105,1,1,0,1,3,3,3,4,3
413,0,2,0,3,0,0,1,4,0
481,2,2,0,3,0,3,3,4,2
237,0,0,0,2,4,3,1,4,2
542,4,2,0,3,1,2,1,0,0
183,4,1,0,1,1,3,3,2,2
182,4,1,0,1,2,1,2,4,3
355,4,0,0,2,4,0,0,2,0
84,0,1,0,1,2,4,3,0,1
58,4,1,1,0,4,1,2,2,4
458,1,2,0,3,1,0,4,0,0
156,3,1,0,1,0,3,2,3,1
198,4,1,0,1,1,2,1,0,0
543,4,2,0,3,1,2,2,3,1
60,5,1,1,0,2,3,2,1,3
175,4,1,0,1,3,0,1,3,0
309,2,0,0,2,4,0,2,2,4
540,4,2,0,3,0,3,1,0,1
371,4,0,0,2,0,2,1,2,3
245,0,0,0,2,4,1,1,3,3
203,5,1,0,1,2,3,1,0,0
300,2,0,0,2,3,1,1,4,3
491,2,2,0,3,2,3,4,1,1
480,1,2,0,3,1,3,2,2,1
225,5,1,0,1,1,4,4,3,2
25,1,1,1,0,3,3,3,2,3
335,3,0,0,2,3,3,0,2,3
539,4,2,0,3,0,3,4,4,4
110,1,1,0,1,2,4,3,0,1
414,0,2,0,3,2,2,4,3,4
134,1,1,0,1,0,3,2,1,1
208,5,1,0,1,2,4,2,0,1
470,1,2,0,3,2,2,2,2,0
146,2,1,0,1,3,0,1,3,0
352,4,0,0,2,4,0,0,0,1
447,1,2,0,3,2,2,3,3,4
119,1,1,0,1,3,2,3,4,0
417,0,2,0,3,0,4,4,4,3
419,0,2,0,3,2,2,3,3,4
100,1,1,0,1,2,4,3,3,1
291,1,0,0,2,1,2,0,0,2
89,0,1,0,1,0,3,3,3,2
82,0,1,0,1,2,3,1,0,0
269,1,0,0,2,4,1,0,0,1
204,5,1,0,1,3,3,4,4,3
104,1,1,0,1,3,0,1,3,0
373,4,0,0,2,1,2,0,0,2
384,5,0,0,2,4,1,1,1,4
74,0,1,0,1,3,0,0,4,0
459,1,2,0,3,0,1,2,3,4
418,0,2,0,3,0,4,4,1,2
473,1,2,0,3,0,3,2,2,1
49,4,1,1,0,1,1,1,1,1
278,1,0,0,2,3,3,1,1,3
432,0,2,0,3,2,2,3,0,0
259,0,0,0,2,0,1,1,3,3
241,0,0,0,2,4,1,0,0,1
253,0,0,0,2,1,0,2,3,4
390,5,0,0,2,4,0,2,2,4
